,Date,Category,Section,Headline,Subheader,Term,URL
22,1996-09-11,Misc,Opinion,Separating Gay and 'Transgender' Issues,Christopher Ott letter disputes Sept 8 article on campaign by transsexuals for respect (S),Transsexual,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283193.html?searchResultPosition=423
23,1996-09-16,Misc,Opinion,Transsexuals and Law,David B Cruz letter disputes Stephen H Miller's Sept 11 letter on states' recognition of male-to-female transexual marriages (S),Transsexual,/1996/09/16/opinion/l-transsexuals-and-law-321583.html?searchResultPosition=25
24,1996-12-02,US New,New York,Plea for the 'Transgendered',,Transgender,/1996/12/02/nyregion/plea-for-the-transgendered.html?searchResultPosition=32
25,1996-12-22,Arts,Arts,A Rebel Whose Dolls Embodied Her Demons,"Article by Nan Goldin on works of late transsexual artist Greer Lankton, whose art featured life-size dolls; photos (L)",Transsexual,/1996/12/22/arts/a-rebel-whose-dolls-embodied-her-demons.html?searchResultPosition=123
26,1997-09-12,Arts,Movies,"FILM REVIEW; He's Loud and Boorish, She's Shy, for Starters",Dating a transsexual. Excellent Mackintosh.,Transsexual,/1997/09/12/movies/film-review-he-s-loud-and-boorish-she-s-shy-for-starters.html?searchResultPosition=60
27,1997-10-26,US New,New York,"NEIGHBORHOOD REPORT: CLINTON; Club, It Seems, Isn't Dead Yet","Neighborhood residents fear that legal technicality may lead to reopening of Club Edelweiss, nightclub popular with transvestites and transsexuals in Clinton secton of Manhattan; photo (M)",Transsexual,/1997/10/26/nyregion/neighborhood-report-clinton-club-it-seems-isn-t-dead-yet.html?searchResultPosition=48
28,1997-12-21,Arts,Movies,FILM; A Gender-Bending Movie With a Message for All,"Interview with Alain Berliner, director of film Ma Vie en Rose; photo (M)",Other,/1997/12/21/movies/film-a-gender-bending-movie-with-a-message-for-all.html?searchResultPosition=312
29,1998-04-05,US New,New York,NEIGHBORHOOD REPORT: CLINTON -- UPDATE; Embattled Bar Loses a Round,"State Liquor Authority closes down Club Edelweiss on 11th Avenue in Clinton area of midtown Manhattan, to delight of nearby residents; bar catered to transvestites and has history of prostitution arrests; owner is appealing, charging 'homophobic conspiracy' (S)",Other,/1998/04/05/nyregion/neighborhood-report-clinton-update-embattled-bar-loses-a-round.html?searchResultPosition=103
30,1998-04-19,Misc,Magazine,"SUNDAY: APRIL 19, 1998: MUSIC; Go, Girl!","Dana International, transsexual diva, will represent Israel at international song contest, Birmingham, Eng; religious members of Israeli Parliament have called for ban on her performing there; photo (M)",Transsexual,/1998/04/19/magazine/sunday-april-19-1998-music-go-girl.html?searchResultPosition=45
31,1998-07-24,Arts,Movies,"THEATER REVIEW; Briefly, a New Hedwig, but the Same Self-Discovery",Peter Marks reviews pop-rock musical Hedwig and the Angry Itch with Michael Cerveris in transsexual role created by Cameron Mitchell; photo (S),Transsexual,/1998/07/24/movies/theater-review-briefly-a-new-hedwig-but-the-same-self-discovery.html?searchResultPosition=114
32,1998-10-04,Misc,Magazine,His Debut As a Woman,"Diana Ellaborn letter comments on September 13 profile of concert pianist Sara Davis Buechner, who is transsexual",Transsexual,/1998/10/04/magazine/l-his-debut-as-a-woman-082295.html?searchResultPosition=417
33,1998-10-04,Misc,Magazine,His Debut As a Woman,"Sharon Mahar Potter letter comments on September 13 profile of concert pianist Sara Davis Buechner, who is transsexual",Transsexual,/1998/10/04/magazine/l-his-debut-as-a-woman-082287.html?searchResultPosition=422
34,1999-06-11,US New,New York,"PUBLIC LIVES; Issues of Gender, From Pronouns to Murder","Public Lives profile of Riki Anne Wilchins, author and transsexual who is one of most prominent advocates in country for 'gender rights'; photo (M)",Transsexual,/1999/06/11/nyregion/public-lives-issues-of-gender-from-pronouns-to-murder.html?searchResultPosition=52
35,1999-06-11,US New,New York,"PUBLIC LIVES; Issues of Gender, From Pronouns to Murder","Public Lives profile of Riki Anne Wilchins, author and transsexual who is one of most prominent advocates in country for 'gender rights'; photo (M)",Transsexual,/1999/06/11/nyregion/public-lives-issues-of-gender-from-pronouns-to-murder.html?searchResultPosition=43
36,1999-06-14,Arts,Arts,REVISIONS; Singers Whose Art Transcends the Songs They Sing,"Revisions column by Margo Jefferson examines two recent recordings, by gospel singer Marion Williams and by jazz singer Cassandra Wilson, as case studies in interpretation and composition; photos (M)",Other,/1999/06/14/arts/revisions-singers-whose-art-transcends-the-songs-they-sing.html?searchResultPosition=118
37,1999-06-19,Arts,Arts,A Transsexual Economist's 2d Transition; She Says Gender Determines One's Approach to Her Field,,Transsexual,/1999/06/19/arts/transsexual-economist-s-2d-transition-she-says-gender-determines-one-s-approach.html?searchResultPosition=22
38,1999-06-27,Misc,Magazine,Lives; 'I Never Thought I Was Going to Be a Part of Gay History',"Sylvia Rivera describes her descent into drugs and homelessness after playing a lead role in Stonewall Riots of 1969, when she was a 17-year-old drag queen; now lives in Transgender House in Brooklyn and is off drugs; photo (M)",Transgender,/1999/06/27/magazine/lives-i-never-thought-i-was-going-to-be-a-part-of-gay-history.html?searchResultPosition=41
39,1999-08-23,US New,New York,"A Place for Friends, And Not for Prejudice","Camp Mountain Meadow in Newfield, NJ, which operates for two weeks every Aug, was created in 1992 to give children whose parents are gay, lesbian or transsexual place where they can be themselves without fear; 67 children, ages 9 to 16, attended camp this year; photos (M)",Transsexual,/1999/08/23/nyregion/a-place-for-friends-and-not-for-prejudice.html?searchResultPosition=66
40,1999-09-14,World News,World,"Beijing Journal; As China Changes, a Sex Change Can Bring Fame","Interview with dancer/choreographer Jin Xing, who is among growing number of transsexuals in China and first to speak openly about her sex change; she has become a celebrity; photo (M)",Transsexual,/1999/09/14/world/beijing-journal-as-china-changes-a-sex-change-can-bring-fame.html?searchResultPosition=53
41,1999-12-15,Misc,Opinion,On Gender Identity,"Letter from Riki Anne Wilchins (GenderPAC) takes exception to Dec 9 news article referring to late Pfc Barry Winchell's companion, Calpernia Addams, as 'female impersonator'; holds Addams is a male-to-female transsexual who lives full time as a woman",Transsexual,/1999/12/15/opinion/l-on-gender-identity-890804.html?searchResultPosition=424
42,2000-02-04,Arts,Movies,FILM REVIEW; Their Gender Will Bend Every Which Way It Can,,Other,/2000/02/04/movies/film-review-their-gender-will-bend-every-which-way-it-can.html?searchResultPosition=91
43,2000-02-04,Arts,Movies,FILM REVIEW; Their Gender Will Bend Every Which Way It Can,,Other,/2000/02/04/movies/film-review-their-gender-will-bend-every-which-way-it-can.html?searchResultPosition=108
44,2000-02-09,US New,U.S.,Illinois Mulls New Tactic Over Violence Based on Sex,"Illinois legislature is considering what could become first state law specifically tailored to allow victims of wife-beating, gay-bashing and other violence based on gender or sexual orientation to sue their attackers; Gov George Ryan supports bill (M)",Other,/2000/02/09/us/illinois-mulls-new-tactic-over-violence-based-on-sex.html?searchResultPosition=181
45,2000-04-21,US New,New York,Outbreak of TB Afflicts Transgender People,,Transgender,/2000/04/21/nyregion/outbreak-of-tb-afflicts-transgender-people.html?searchResultPosition=28
46,2000-04-21,US New,New York,Outbreak of TB Afflicts Transgender People,,Transgender,/2000/04/21/nyregion/outbreak-of-tb-afflicts-transgender-people.html?searchResultPosition=2
47,2000-06-04,Arts,Books,He/She's So Fine,Louis Bayard reviews book Trans-Sister Radio by Chris Bohjalian (M),Other,/2000/06/04/books/he-she-s-so-fine.html?searchResultPosition=38
48,2000-06-11,US New,New York,NEIGHBORHOOD REPORT: NEW YORK UP CLOSE; New Bias Frontier: A Council Bill Aims to Protect the Transgendered,"Members of New York City Council introduce legislation to broaden city's human rights law to protect Diana Vargas and other transgendered or gender variant people from discrimination in employment, public accommodations, housing, credit and education; Vargas comments; photo (M)",Transgender,/2000/06/11/nyregion/neighborhood-report-new-york-up-close-new-bias-frontier-council-bill-aims.html?searchResultPosition=62
49,2000-06-11,US New,New York,NEIGHBORHOOD REPORT: NEW YORK UP CLOSE; New Bias Frontier: A Council Bill Aims to Protect the Transgendered,"Members of New York City Council introduce legislation to broaden city's human rights law to protect Diana Vargas and other transgendered or gender variant people from discrimination in employment, public accommodations, housing, credit and education; Vargas comments; photo (M)",Transgender,/2000/06/11/nyregion/neighborhood-report-new-york-up-close-new-bias-frontier-council-bill-aims.html?searchResultPosition=23
50,2000-06-18,Misc,Magazine,An Inconvenient Woman,Dana Korbman letter expresses disappointment at choice of David France's article on transsexual Calpernia Sarah Addams and murder of Pfc Barry Winchell for Memorial Day weekend cover story,Transsexual,/2000/06/18/magazine/l-an-inconvenient-woman-735396.html?searchResultPosition=72
51,2000-06-18,Misc,Magazine,An Inconvenient Woman,Ellen Ahmed letter scores presence of another white male on May 28 cover illustrating David France's May 28 article on transsexual Calpernia Sarah Adams and death of Pfc Barry Winchell,Transsexual,/2000/06/18/magazine/l-an-inconvenient-woman-735426.html?searchResultPosition=69
52,2000-06-18,Misc,Magazine,An Inconvenient Woman,Michel Baranger letter praises David France's May 28 article on transsexual Calpernia Sarah Addams's courage in face of murder of Pfc Barry Winchell,Transsexual,/2000/06/18/magazine/l-an-inconvenient-woman-735361.html?searchResultPosition=70
53,2000-06-18,Misc,Magazine,An Inconvenient Woman,Chelsea Elisabeth Goodwin letter praises David France's May 28 article on transsexual Calpernia Sarah Addams and murder of Pfc Barry Winchell0,Transsexual,/2000/06/18/magazine/l-an-inconvenient-woman-735370.html?searchResultPosition=178
54,2000-06-18,Misc,Magazine,An Inconvenient Woman,Robert J Christensen letter on David France's May 28 article praises bravery of transsexual Calpernia Sarah Addams in face of murder of Pfc Barry Winchell,Transsexual,/2000/06/18/magazine/l-an-inconvenient-woman-735388.html?searchResultPosition=71
55,2000-06-18,Misc,Magazine,An Inconvenient Woman,Chelsea Elisabeth Goodwin letter praises David France's May 28 article on transsexual Calpernia Sarah Addams and murder of Pfc Barry Winchell0,Transsexual,/2000/06/18/magazine/l-an-inconvenient-woman-735370.html?searchResultPosition=67
56,2000-07-09,Arts,Movies,FILM; One Enfant Terrible Translates Another,"Leslie Camhi reviews French director Francois Ozon's latest film Water Drops on Burning Rocks, which is set to open in New York; photos (M)",Other,/2000/07/09/movies/film-one-enfant-terrible-translates-another.html?searchResultPosition=272
57,2000-07-24,US New,New York,Watershed of Mourning At the Border of Gender,,Other,/2000/07/24/nyregion/watershed-of-mourning-at-the-border-of-gender.html?searchResultPosition=18
58,2000-08-29,Misc,Opinion,Transgender Rights,Editorial urges New York City Council Speaker Peter Vallone to move swiftly to pass bill protecting civil rights of citizens who identify themselves as transgender; urges Mayor Rudolph Giuliani to sign it (S),Transgender,/2000/08/29/opinion/transgender-rights.html?searchResultPosition=3
59,2000-08-29,Misc,Opinion,Transgender Rights,Editorial urges New York City Council Speaker Peter Vallone to move swiftly to pass bill protecting civil rights of citizens who identify themselves as transgender; urges Mayor Rudolph Giuliani to sign it (S),Transgender,/2000/08/29/opinion/transgender-rights.html?searchResultPosition=1
60,2000-10-08,US New,New York,HEALTH; Medical Center Offers Program Tailored to Gay Patients,"Article on Westchester Medical Center's special program tailored to health needs of gay men, lesbians and the transgendered; photos (M)",Transgender,/2000/10/08/nyregion/health-medical-center-offers-program-tailored-to-gay-patients.html?searchResultPosition=2
61,2001-02-04,US New,New York,GOVERNMENT; New Liaison to Gay Residents: From Rabble Rouser to Bureaucrat,"Profile of Joseph De Filippis, who, after spending his adult life as advocate for gays and lesbians, has become new full-time liaison to lesbian, gay, bisexual and transgender community for Westchester County, NY; photo (M)",Transgender,/2001/02/04/nyregion/government-new-liaison-to-gay-residents-from-rabble-rouser-to-bureaucrat.html?searchResultPosition=29
62,2001-02-21,Arts,Movies,"FILM REVIEW; Genders That Shift, but Friends Firm as Bedrock",,Other,/2001/02/21/movies/film-review-genders-that-shift-but-friends-firm-as-bedrock.html?searchResultPosition=103
63,2001-02-21,Arts,Movies,"FILM REVIEW; Genders That Shift, but Friends Firm as Bedrock",,Other,/2001/02/21/movies/film-review-genders-that-shift-but-friends-firm-as-bedrock.html?searchResultPosition=71
64,2001-02-24,US New,U.S.,Another Minority Flexes Its Muscle in San Francisco,"Theresa Sparks, newest member of San Francisco Human Rights Commission, and first who is transgendered, says she plans to fight for acceptance of people like her in larger society; says she will fight job discrimination against transgenders; photo (M)",Transgender,/2001/02/24/us/another-minority-flexes-its-muscle-in-san-francisco.html?searchResultPosition=45
65,2001-02-24,US New,U.S.,Another Minority Flexes Its Muscle in San Francisco,"Theresa Sparks, newest member of San Francisco Human Rights Commission, and first who is transgendered, says she plans to fight for acceptance of people like her in larger society; says she will fight job discrimination against transgenders; photo (M)",Transgender,/2001/02/24/us/another-minority-flexes-its-muscle-in-san-francisco.html?searchResultPosition=95
66,2001-05-10,Arts,Books,MAKING BOOKS; Transition Time For Gay Works,,Other,/2001/05/10/books/making-books-transition-time-for-gay-works.html?searchResultPosition=123
67,2001-07-04,US New,New York,New Jersey Appeals Court Bars Firing of Transsexual,"New Jersey appeals court rules that transsexuals are protected by state laws against discrimination and says doctor, who is now woman, can sue her former employer for wrongful termination under state's bias laws (M)",Transsexual,/2001/07/04/nyregion/new-jersey-appeals-court-bars-firing-of-transsexual.html?searchResultPosition=26
68,2001-07-13,US New,New York,Metro Briefing | New York: Manhattan: Gay Community Center Reopens,"Former Lesbian and Gay Community Services Center in Manhattan reopens and is renamed Lesbian, Gay, Bisexual and Transgender Community Center (S)",Transgender,/2001/07/13/nyregion/metro-briefing-new-york-manhattan-gay-community-center-reopens.html?searchResultPosition=13
69,2001-07-19,US New,U.S.,National Briefing | New England: Rhode Island: Transgender Discrimination Banned,Rhode Island becomes second state in country to ban transgender discrimination (S),Transgender,/2001/07/19/us/national-briefing-new-england-rhode-island-transgender-discrimination-banned.html?searchResultPosition=6
70,2001-07-19,US New,U.S.,National Briefing | New England: Rhode Island: Transgender Discrimination Banned,Rhode Island becomes second state in country to ban transgender discrimination (S),Transgender,/2001/07/19/us/national-briefing-new-england-rhode-island-transgender-discrimination-banned.html?searchResultPosition=45
71,2001-07-20,Arts,Movies,"FILM REVIEW; Betwixt, Between On a Glam Frontier","John Cameron Mitchell's Off-Broadway &quot;post-punk, neo-glam rock musical&quot; about the travails of an East German-born transsexual rock singer on the road in America has been adapted into a wildly funny and innovative film that is even more groundbreaking in its way than &quot;Moulin Rouge.",Transsexual,/2001/07/20/movies/film-review-betwixt-between-on-a-glam-frontier.html?searchResultPosition=257
72,2001-09-02,US New,New York,NEIGHBORHOOD REPORT: JACKSON HEIGHTS; An Antigay Attack Rekindles Ever-Present Fears,"Many residents of Jackson Heights, New York City, homs to growing number of gays, bisexuals, transvestites and transsexuals, are fearful since attack on Edgar Garzon in August; photo; he remain in coma (M)",Transsexual,/2001/09/02/nyregion/neighborhood-report-jackson-heights-antigay-attack-rekindles-ever-present-fears.html?searchResultPosition=107
73,2001-09-07,Arts,Movies,FILM REVIEW; A Thai Volleyball Team That Vives Its Différence,"Who could argue with a giddy feel-good comedy (based on a true story, no less) about a Thai volleyball team composed mostly of gay men, transvestites and transsexuals that defies expectations to win the national championships? A huge hit in Thailand, &quot;The Iron Ladies&quot; is the second-highest grossing Thai film ever.",Transsexual,/2001/09/07/movies/film-review-a-thai-volleyball-team-that-vives-its-difference.html?searchResultPosition=103
74,2001-11-04,Misc,Magazine,Love in the 21st Century,Leslie Pollack Wenning letter praises inclusion of lesbian and transgender couples in Oct 21 issue on Love in 21st Century; photo,Transgender,/2001/11/04/magazine/l-love-in-the-21st-century-928755.html?searchResultPosition=609
75,2001-11-04,Misc,Magazine,Love in the 21st Century,Hilary Kayle Crist letter criticizes Oct 21 issue on Love in 21st Century for including lesbian and transgendered couples and couple who survive only through benefits of prescription drugs; photo,Transgender,/2001/11/04/magazine/l-love-in-the-21st-century-928771.html?searchResultPosition=604
76,2001-11-04,Misc,Magazine,Love in the 21st Century,Leslie Pollack Wenning letter praises inclusion of lesbian and transgender couples in Oct 21 issue on Love in 21st Century; photo,Transgender,/2001/11/04/magazine/l-love-in-the-21st-century-928755.html?searchResultPosition=179
77,2002-01-01,Science,Health,CASES; On Record: Conflicting Obligations,Dr Abigail Zuger discusses medical privacy in light of case of transgendered patient who asked that her status not be put in medical record (Cases column) (M),Transgender,/2002/01/01/health/cases-on-record-conflicting-obligations.html?searchResultPosition=100
78,2002-01-25,Arts,Movies,"FILM IN REVIEW; 'Hey, Happy!",Set in a retro-future version of Winnipeg — a city of deserted industrial buildings populated chiefly by undulating transgender prostitutes — Noam Gonick's  camp comedy is an apocalyptic fantasy that offers a comically literal perspective on the fundamentalist belief that homosexuality is leading to the end of the world.,Transgender,/2002/01/25/movies/film-in-review-hey-happy.html?searchResultPosition=32
79,2002-03-16,US New,U.S.,Court Rejects an Estate Claim Filed by a Transsexual Widow,"Kansas Supreme Court rejects transsexual widow's estate claim because state laws do not recognize marriage between two people who were born the same sex; says 'post-operative male-to-female transsexual is not a woman'; Joe Gardiner sued to stop 'stepmother' J'Noel, born Jay Ball, from inheriting half of father's $2.",Transsexual,/2002/03/16/us/court-rejects-an-estate-claim-filed-by-a-transsexual-widow.html?searchResultPosition=25
80,2002-04-25,US New,New York,Metro Briefing | New York: Manhattan: Transgender Bill Passes,"New York City Council approves bill that extends protection from discrimination to transgendered people, transsexuals and others whose gender identity bill's backers say does not fit in societal norms (S)",Transsexual,/2002/04/25/nyregion/metro-briefing-new-york-manhattan-transgender-bill-passes.html?searchResultPosition=35
81,2002-04-25,US New,New York,Metro Briefing | New York: Manhattan: Transgender Bill Passes,"New York City Council approves bill that extends protection from discrimination to transgendered people, transsexuals and others whose gender identity bill's backers say does not fit in societal norms (S)",Transsexual,/2002/04/25/nyregion/metro-briefing-new-york-manhattan-transgender-bill-passes.html?searchResultPosition=5
82,2002-06-16,Misc,Magazine,About a Boy Who Isn't,"Letter from Lou Sanders on Benoit Denizet-Lewis's May 26 article on girl living as boy, called M; wonders about trauma to M's girlfriend when she discovers true gender of her 'boyfriend'",Other,/2002/06/16/magazine/l-about-a-boy-who-isn-t-486981.html?searchResultPosition=613
83,2002-07-31,US New,New York,Top Court Again Rejects Sentence Of Death,"New Jersey Supreme Court overturns death sentence of Leslie Ann Nelson, transssexual go-go dancer who killed police officer and an investigator with AK-47 rifle; ruling, which does not affect Nelson's guilty plea, sends case back to trial court for resentencing; photo (M)",Other,/2002/07/31/nyregion/top-court-again-rejects-sentence-of-death.html?searchResultPosition=124
84,2002-09-01,Arts,Style,"Girlhood, Chickdom and Womanliness","Article on this fall's style reading list, which includes self-help books for transsexuals, women and girls; photos (M)",Transsexual,/2002/09/01/style/girlhood-chickdom-and-womanliness.html?searchResultPosition=177
85,2002-09-01,Arts,Style,"Girlhood, Chickdom and Womanliness","Article on this fall's style reading list, which includes self-help books for transsexuals, women and girls; photos (M)",Transsexual,/2002/09/01/style/girlhood-chickdom-and-womanliness.html?searchResultPosition=136
86,2002-09-22,US New,New York,"NEIGHBORHOOD REPORT: GREENWICH VILLAGE; On Racy Christopher Street, Anxiety Over a Possible BID","George Forbes and other local merchants, seeking to rid neighborhood of garbage and late-night noise, face opposition from gay and transgendered community to proposal to form Christopher Street Business Improvement District in Greenwich Village; photo (M)",Transgender,/2002/09/22/nyregion/neighborhood-report-greenwich-village-racy-christopher-street-anxiety-over.html?searchResultPosition=144
87,2002-10-29,Science,Health,"BOOKS ON HEALTH; On Being Male, Female, Neither or Both",Article discusses several new books on subject of transgender sexuality; drawing (M),Transgender,/2002/10/29/health/books-on-health-on-being-male-female-neither-or-both.html?searchResultPosition=34
88,2002-10-29,Science,Health,"BOOKS ON HEALTH; On Being Male, Female, Neither or Both",Article discusses several new books on subject of transgender sexuality; drawing (M),Transgender,/2002/10/29/health/books-on-health-on-being-male-female-neither-or-both.html?searchResultPosition=135
89,2002-12-14,World News,World,World Briefing | Europe: Britain: Proposal To Recognize Sex Changes,"British government proposes legislation granting transsexuals right to be legally recognized, to marry under their chosen sex, to be granted birth certificates noting their new sex and to claim pensions at age 60 for women and 65 for men (S)",Transsexual,/2002/12/14/world/world-briefing-europe-britain-proposal-to-recognize-sex-changes.html?searchResultPosition=32
90,2002-12-15,Arts,Books,'Normal',"""I thought there must be a reason female-to-male transsexuals were invisible.""",Transsexual,/2002/12/15/books/chapters/normal.html?searchResultPosition=39
91,2002-12-15,Arts,Books,Check as Many as Apply,"Erica Goode reviews book Normal: Transsexual CEO's, Crossdressing Cops, and Hermaphrodites With Attitude by Amy Bloom (M)",Transsexual,/2002/12/15/books/check-as-many-as-apply.html?searchResultPosition=47
92,2002-12-27,US New,New York,PUBLIC LIVES; A Tender Woman and a Tough Advocate,"Public Lives profile of transgendered woman Melissa Sklarz, advocate for transgender rights; while many were celebrating passage of New York's first sexual orientation nondiscrimination law, transgender groups say their rights were not considered; photo (M)",Transgender,/2002/12/27/nyregion/public-lives-a-tender-woman-and-a-tough-advocate.html?searchResultPosition=181
93,2002-12-27,US New,New York,PUBLIC LIVES; A Tender Woman and a Tough Advocate,"Public Lives profile of transgendered woman Melissa Sklarz, advocate for transgender rights; while many were celebrating passage of New York's first sexual orientation nondiscrimination law, transgender groups say their rights were not considered; photo (M)",Transgender,/2002/12/27/nyregion/public-lives-a-tender-woman-and-a-tough-advocate.html?searchResultPosition=12
94,2002-12-27,US New,New York,PUBLIC LIVES; A Tender Woman and a Tough Advocate,"Public Lives profile of transgendered woman Melissa Sklarz, advocate for transgender rights; while many were celebrating passage of New York's first sexual orientation nondiscrimination law, transgender groups say their rights were not considered; photo (M)",Transgender,/2002/12/27/nyregion/public-lives-a-tender-woman-and-a-tough-advocate.html?searchResultPosition=180
95,2003-01-16,US New,New York,PUBLIC LIVES; Advice From the Last Gay Bookstore: Read On,"Public Lives profile of Vincent Migliore, owner of Creative Visions, New York bookstore devoted to serving gay, lesbian, bisexual and transgender community; photo (M)",Transgender,/2003/01/16/nyregion/public-lives-advice-from-the-last-gay-bookstore-read-on.html?searchResultPosition=346
96,2003-01-16,US New,New York,PUBLIC LIVES; Advice From the Last Gay Bookstore: Read On,"Public Lives profile of Vincent Migliore, owner of Creative Visions, New York bookstore devoted to serving gay, lesbian, bisexual and transgender community; photo (M)",Transgender,/2003/01/16/nyregion/public-lives-advice-from-the-last-gay-bookstore-read-on.html?searchResultPosition=49
97,2003-02-01,World News,World,World Briefing | Europe: Vatican: A Ban On Transsexuals,"Catholic news agency Adista publishes what it says is confidential Vatican document, signed by Cardinal Eduardo Martinez Somalo, banning transsexuals from religious orders and forcing any clergy members who undergo sex change to be expelled (S)",Transsexual,/2003/02/01/world/world-briefing-europe-vatican-a-ban-on-transsexuals.html?searchResultPosition=23
98,2003-02-25,US New,U.S.,National Briefing | West: California: Guilty Plea In Transgender Case,"Nineteen-year-old Jaron C Nabors, one of four men charged in October 2002 hate-crime killing of Eddie Araujo, 17-year-old boy who lived like girl, pleads guilty in court in California; will testify against others (S)",Transgender,/2003/02/25/us/national-briefing-west-california-guilty-plea-in-transgender-case.html?searchResultPosition=99
