,Headline,Subheader,Section,Date,URL
11,Ruling Extends Sex-Discrimination Protection to Transgender Woman Denied Federal Job,The Equal Employment Opportunity Commission said gender-identity bias is illegal under Title VII of the Civil Rights Act of 1964.,U.S.,04/25/2012,/2012/04/25/us/sex-discrimination-protection-extended-to-transgender-woman.html?searchResultPosition=28
12,"For Transgender Triathlete, a Top Finish in New York Is Secondary","Chris Mosier, who will compete in the New York City Triathlon for the first time as a male, was picked on in high school and college for adopting an androgynous appearance.",Sports,08/06/2011,/2011/08/06/sports/for-transgender-triathlete-a-top-finish-is-secondary.html?searchResultPosition=30
13,Equality for Transgenders,Readers respond to a column on civil rights for transgender Americans.,Opinion,08/22/2011,/2011/08/22/opinion/beyond-the-bedroom-equality-for-transgenders.html?searchResultPosition=37
14,‘Name Change’,"The filmmaker Sharon Shattuck recalls the apprehension she experienced when her father, a transgender cross-dresser, decided to legally adopt a woman’s name.",Opinion,04/19/2012,/2012/04/19/opinion/name-change.html?searchResultPosition=40
15,Anchorage Voters Reject Extension of Rights Protections to Gay Residents,"Proposition 5, a bill that would have added protections for people regardless of “sexual orientation or transgender identity” fell short in a citywide vote.",U.S.,04/05/2012,/2012/04/05/us/proposition-5-gay-rights-anchorage-alaska.html?searchResultPosition=43
16,"When They Play Women, It’s Not Just an Act",Harmony Santana is among a small group of openly transgender actors who are increasingly recognizable and finding a place on screen.,Movies,07/31/2011,/2011/07/31/movies/new-roles-for-transgender-performers.html?searchResultPosition=47
17,"We Want Cake, Too","As progress on equality for gay men and lesbians ripples through the country, one group has been prominently left behind: transgender people.",Opinion,08/12/2011,/2011/08/12/opinion/we-want-cake-too.html?searchResultPosition=48
18,Suits Dispute City’s Rule on Recording Sex Changes,The city requires transgender people to have genital surgery if they want to change their sex identification on their birth certificates.,New York,03/23/2011,/2011/03/23/nyregion/23gender.html?searchResultPosition=52
19,"Medical Schools Neglecting Gay Health Needs, Study Says","Medical school curricula in the United States and Canada devote an average of only five hours to the specific health care issues faced by lesbian, gay, bisexual and transgender patients, a survey shows.",Americas,09/12/2011,/2011/09/12/world/americas/12iht-educBriefs12.html?searchResultPosition=57
20,A First in Cup Qualifying for a Player and a Team,"Jonny Saelua, who is transgender, helped American Samoa to its first international victory with a 2-1 win over Tonga in World Cup qualifying on Tuesday.",Soccer,11/26/2011,/2011/11/26/sports/soccer/jonny-saelua-transgender-player-helps-american-samoa-to-first-international-soccer-win.html?searchResultPosition=60
21,"Brian Winfield, Kim Byrd","Both partners have been involved in organizations helping gay, lesbian, bisexual and transgender people.",Love,02/19/2012,/2012/02/19/fashion/weddings/brian-winfield-kim-byrd-weddings.html?searchResultPosition=62
22,"Xiomara Lorenzo, Cara Herbitter","A wedding at the Lesbian, Gay, Bisexual & Transgender Community Center in Manhattan.",Love,07/01/2012,/2012/07/01/fashion/weddings/xiomara-lorenzo-cara-herbitter-weddings.html?searchResultPosition=63
23,The High Price of Looking Like a Woman,"Some transgender women seek out practitioners who will illegally, and dangerously, inject them with silicone to achieve a more feminine appearance.",New York,08/21/2011,/2011/08/21/nyregion/some-transgender-women-pay-a-high-price-to-look-more-feminine.html?searchResultPosition=64
24,"Seeking Acceptance, and Family, in One’s Shifting Gender","A respectful adaptation of the 2001 documentary of the same name, “Southern Comfort” chronicles the final year in the life of Robert Eads, a female-to-male transsexual who has ovarian cancer.",Theater Reviews,10/13/2011,/2011/10/13/theater/reviews/southern-comfort-at-cap21-black-box-theater-review.html?searchResultPosition=66
25,A Lawsuit’s Unusual Question: Who Is a Man?,A lawsuit filed Friday by an employee who says he was dismissed for being transgender could turn on the question of who is or is not a man.,New York,04/11/2011,/2011/04/11/nyregion/11sexchange.html?searchResultPosition=70
26,"‘Coming Out’: Gay Teenagers, in Their Own Words","The project was initiated as an effort to better understand this generation of gay, lesbian, bisexual and transgender youths, and to explore its realities and expectations.",U.S.,05/23/2011,/2011/05/23/us/23out.html?searchResultPosition=75
27,2011 Was a Good Year for Causes of Gays,"The battle over same-sex marriage continues, but for other causes supported by lesbian, gay, bisexual and transgender groups, 2011 has been a particularly good year.",U.S.,12/30/2011,/2011/12/30/us/for-lesbian-gay-bisexual-and-transgender-groups-2011-has-been-a-great-legislative-year.html?searchResultPosition=76
28,"Idit Klein, Jordan Namerow","A Massachusetts wedding for the executive director of Keshet, a Boston organization that works for lesbian, gay, bisexual and transgender equality, and the senior communications associate of American Jewish World Service, an international relief organization in New York.",Love,08/14/2011,/2011/08/14/fashion/weddings/idit-klein-jordan-namerow-weddings.html?searchResultPosition=77
29,"For Many Older Gays, a Toll of Time and Isolation","A geriatrician reflects on the challenges facing the aging generation of gay, lesbian, bisexual and transgender people who are often more isolated than their heterosexual peers.",Views,09/13/2011,/2011/09/13/health/views/13cases.html?searchResultPosition=81
30,Week Ahead in Film,"A look ahead at NewFest, the New York Lesbian, Gay, Bisexual, and Transgender Film Festival.",Movies,07/17/2011,/2011/07/17/movies/week-ahead-in-film.html?searchResultPosition=82
31,"Brenda Fulton, Penelope Gnesin","A founder of an organization that helps gay, lesbian, bisexual and transgender service members and veterans marries a choir director.",Love,12/02/2012,/2012/12/02/fashion/weddings/brenda-fulton-penelope-gnesin-weddings.html?searchResultPosition=84
32,Shades of Gay,"In a recent national survey, people of color were more likely than whites to identify themselves as lesbian, gay, bisexual or transgender.",Opinion,10/20/2012,/2012/10/20/opinion/blow-shades-of-gay.html?searchResultPosition=86
33,"What Makes a Man (or Woman) in a Marriage License? In Texas, It’s Unclear","Texas bans same-sex marriage, but the issue of transgendered applicants for a marriage license has thrown a wrinkle into the ban.",U.S.,05/27/2011,/2011/05/27/us/27tttrans.html?searchResultPosition=89
34,California May Require Teaching of Gay History,"Advocates hope that teaching about gay, lesbian, bisexual and transgender people in schools would prevent bullying and shatter stereotypes.",U.S.,04/16/2011,/2011/04/16/us/16schools.html?searchResultPosition=91
35,Homeless Youth Struggles to Build a Life in Chicago,"Transgender and once a ward of the state, Juan Gallaher lost subsidized housing and other aid when he turned 21.",U.S.,11/27/2011,/2011/11/27/us/transgender-and-homeless-youth-struggles-to-build-a-life.html?searchResultPosition=93
36,Gender-Free,Justin Vivian Bond recalls the ups and downs of being a “trans child.”,Book Review,09/04/2011,/2011/09/04/books/review/tango-my-childhood-backwards-and-in-high-heels-by-justin-vivian-bond-book-review.html?searchResultPosition=96
37,Glittering Rage,"Glitter bombing is the latest act of political theater from the lesbian, gay, bisexual and transgender rights movement.",Sunday Review,08/28/2011,/2011/08/28/opinion/sunday/glitter-a-kinder-gentler-prank.html?searchResultPosition=97
38,"Schmekel, a Band Born as a Laugh","Schmekel, a band of transgender Jewish musicians, merges traditional Jewish forms like klezmer with the aggressive energy of early gay punk bands.",New York,11/27/2011,/2011/11/27/nyregion/schmekel-a-band-born-as-a-laugh.html?searchResultPosition=103
39,Lawyer Turns From Jon Burge to Another Form of Injustice,"Joey Mogul, a Chicago lawyer, has turned her attention to the plight of gay men, lesbians, bisexuals and transgender people in the criminal justice system.",U.S.,02/18/2011,/2011/02/18/us/18cnctorture.html?searchResultPosition=110
40,Out and Proud to Serve,"At 12:01 a.m. Tuesday, 1st Lt. Josh Seefried, who founded an undercover group of 4,000 gay, lesbian, bisexual and transgender active-duty service members, dropped his pseudonym.",U.S.,09/20/2011,/2011/09/20/us/after-toiling-in-shadows-to-end-dont-ask-dont-tell-1st-lt-josh-seefried-greets-a-new-era.html?searchResultPosition=118
41,Celebration of Gay Pride Masks Community in Transition,"The gay community in San Francisco is at a complex crossroads. Assimilation is on the rise, but longtime gay and lesbian institutions are struggling.",U.S.,06/26/2011,/2011/06/26/us/26bcjames.html?searchResultPosition=127
42,NewFest Is Coming Out of the Margins,"For its 24th annual season, NewFest — which celebrates movies with lesbian, gay, bisexual and transgender material — is under the auspices of the Film Society of Lincoln Center.",Movies,07/27/2012,/2012/07/27/movies/newfest-gay-themed-films-at-lincoln-center.html?searchResultPosition=129
43,Atlanta Closer in Distance Than in Philosophy on Gay Marriage,"Despite a large and vibrant community of gay, lesbian and transgender people in Atlanta, Georgia and its largest city are far from approving anything close to New York’s law.",U.S.,06/27/2011,/2011/06/27/us/27atlanta.html?searchResultPosition=132
44,Manicures and Compassion for ‘Throwaway People’ in the Tenderloin,"A missionary group offers cosmetics and compassion to transgendered people and women in the Tenderloin nail salon, many of them former sex workers.",U.S.,12/25/2011,/2011/12/25/us/manicures-and-compassion-for-throwaway-people-in-the-tenderloin.html?searchResultPosition=134
45,A Son Confronts Gender Identity and a Mother Grieves,"Sharon Weir may not be happy that her son is openly gay and identifies himself as transgender, but she will fight for his right to exist in peace.",New York,01/06/2011,/2011/01/06/nyregion/06neediest.html?searchResultPosition=171
46,Obama’s News Conference,"The following is a transcript of Obama’s news conference in the East Wing, as provided by the White House.",Politics,06/30/2011,/2011/06/30/us/politics/30obama-news-conference-text.html?searchResultPosition=409
47,Crossing the Gender Frontier: Voices of Pioneers,Readers respond to a recent column Maureen Dowd on transgendered people.,Opinion,04/30/2011,/2011/04/30/opinion/l30dowd.html?searchResultPosition=422
48,The Road to Acceptance,"A reader responds to “The Transition to My Real Self” (Preoccupations, March 6).",Business,03/13/2011,/2011/03/13/business/13backpage-THEROADTOACC_LETTERS.html?searchResultPosition=427
0,Transgender Comedy Not Amusing to Some,,Movies,03/27/2010,/2010/03/27/movies/27arts-TRANSGENDERC_BRF.html?searchResultPosition=2
1,Trailer to Change for Transgender Film,,Movies,03/31/2010,/2010/03/31/movies/31arts-TRAILERTOCHA_BRF.html?searchResultPosition=3
2,Decision on Transgender Player,"More than two months after a transgender woman sued the Long Drivers of America claiming discrimination, the group said in a statement that it planned to follow a recent rule change by the L.P.G.A.",Golf,12/28/2010,/2010/12/28/sports/golf/28sportsbriefs-longdrive.html?searchResultPosition=4
3,Advocates Hope Transgender Identity Is Not a Defining One,"Gains by transgender candidates are being hailed by advocates as both a sign of acceptance and, they hope, a sign that actual issues are being valued more than gender stereotypes.",Politics,10/25/2010,/2010/10/25/us/politics/25transgender.html?searchResultPosition=5
4,Transgender Man Is on Women’s Team,"Kye Allums, a guard on George Washington’s women’s basketball team, may be the first Division I college basketball player to publicly compete as a transgender person.",College Basketball,11/02/2010,/2010/11/02/sports/ncaabasketball/02gender.html?searchResultPosition=8
5,"For Transgender People, Name Is a Message",Manhattan Civil Court has become a capital of name changing for transgender people as the stigma eases.,New York,01/25/2010,/2010/01/25/nyregion/25namechange.html?searchResultPosition=9
6,L.P.G.A. Tour Accepts Transgender Players,L.P.G.A. players have voted to eliminate the tour’s requirement that players be “female at birth” and to allow transgender athletes to compete.,Golf,12/02/2010,/2010/12/02/sports/golf/02sportsbriefs-LPGATOURACCE_BRF.html?searchResultPosition=10
7,California: Transgender Candidate Is New Judge,Voters in the San Francisco Bay Area elected the first transgender trial judge in the country.,U.S.,11/05/2010,/2010/11/05/us/05brfs-Trans.html?searchResultPosition=11
8,L.P.G.A. Will Allow Transgender Players to Compete,"The L.P.G.A. was sued in October by Lana Lawless, a retired police officer who had gender reassignment surgery in 2005.",Golf,12/02/2010,/2010/12/02/sports/golf/02lpga.html?searchResultPosition=12
9,Guard Held in Sexual Attack on Transgender Inmate,"The victim, a transgender woman, was improperly placed in a male housing unit of the jail, her lawyer complained.",New York,10/08/2010,/2010/10/08/nyregion/08inmate.html?searchResultPosition=16
10,Transgender Woman Sues L.P.G.A. Over Policy,"A transgender woman filed a federal lawsuit Tuesday against the L.P.G.A., arguing that its requirement that competitors be “female at birth” violates California civil rights law.",Golf,10/13/2010,/2010/10/13/sports/golf/13lawsuit.html?searchResultPosition=17
11,When to Out a Transgender Dater?,Private (to a point); prize or payola?,Magazine,07/11/2010,/2010/07/11/magazine/11FOB-Ethicist-t.html?searchResultPosition=21
12,"Letters: The Ethicist, Outing the Transgender Dater",Readers respond to an article about privacy. ,Magazine,07/25/2010,/2010/07/25/magazine/25letters-t-THEETHICISTO_LETTERS.html?searchResultPosition=23
13,U.S. Job Site Bans Bias Over Gender Identity,Civil liberties groups called it a clear statement that discrimination against the transgender population in the federal workplace would not be accepted.,U.S.,01/06/2010,/2010/01/06/us/06gender.html?searchResultPosition=28
14,A Caged Bird Sings the Blues About a Life of Not Fitting In,"In her solo show “A Night at the Tombs,” the transgender performer Bianca Leigh reflects on her life during a night of incarceration.",Theater Reviews,07/15/2010,/2010/07/15/theater/reviews/15night.html?searchResultPosition=29
15,Bold Crossings of the Gender Line,There are visible bits of evidence that 2010 will be remembered as the year of the transsexual.,Fashion,12/09/2010,/2010/12/09/fashion/09TRANS.html?searchResultPosition=36
16,Edward Farley and Matthew Horowitz,"In Vermont, a lawyer who represents gay, lesbian, transgender or bisexual people affected by domestic violence marries a talent agent.",Love,07/18/2010,/2010/07/18/fashion/weddings/18Farley.html?searchResultPosition=37
17,A Gay Campaign? Both Sides Demur,"Brittany Novotny, a Democrat and Oklahoma’s first known transgender candidate, is running for a seat in the state House against a Republican incumbent.",Politics,07/20/2010,/2010/07/20/us/politics/20oklahoma.html?searchResultPosition=59
18,The Anatomy of a Breakup,A partner transitions genders and a relationship changes and breaks.,Fashion,09/12/2010,/2010/09/12/fashion/12Love.html?searchResultPosition=61
19,Race to Succeed Chris Daly Reflects a Transformed District,Candidates for District 6 seat on the San Francisco Board of Supervisors vividly illustrate the sea change that is transforming the area.,Politics,08/08/2010,/2010/08/08/us/politics/08bcdistrict6.html?searchResultPosition=77
20,Giving Voice to the Once-Silent,"The Original Plumbing magazine, a publication for transmen, serves as a voice for a group seldom heard.",Fashion,08/12/2010,/2010/08/12/fashion/12gimlet.html?searchResultPosition=130
